source,early,late,category,further category,link
On the Origin of the World,270,330,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/originworld.html
De Recta in Deum Fide,270,350,Church Fathers,Apologists,https://www.earlychristianwritings.com/derectaindeumfide.html
Hesychius,280,300,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/hesychius.html
Pierius,280,310,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/pierius.html
Pamphilus of Caesarea,280,310,Church Fathers,Apologists,https://www.earlychristianwritings.com/pamphiluscaesarea.html
Arnobius of Sicca,297,310,Church Fathers,Apologists,https://www.earlychristianwritings.com/arnobius.html
Peter of Alexandria,300,310,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/peteralexandria.html
Pseudo-Clementine Homilies,300,320,Apocrypha,Apostolic Fathers,https://www.earlychristianwritings.com/clementinehomilies.html
Eusebius of Caesarea,300,340,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/eusebius.html
Manichean Acts of Leucius Charinus,300,350,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/leucius.html
Correspondence of Paul and Seneca,300,390,Apocrypha,Pseudonymous Epistles of Paul,https://www.earlychristianwritings.com/paulseneca.html
Apocalypses of Thomas,300,400,Apocrypha,Apocalypses,https://www.earlychristianwritings.com/apocalypsethomas.html
Freer Logion,300,400,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/freerlogion.html
Gospel of Gamaliel,300,600,Apocrypha,Gospels,https://www.earlychristianwritings.com/gospelgamaliel.html
Lactantius,303,316,Church Fathers,Apologists,https://www.earlychristianwritings.com/lactantius.html
Reticius of Autun,310,334,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/reticius.html
Pseudo-Clementine Recognitions,320,380,Apocrypha,Quoted Authors,https://www.earlychristianwritings.com/clementinerecognitions.html
